department;municipality;dane code;dane code dept;longitude;latitude;node;region
BOLIVAR;SAN JACINTO DEL CAUCA;13655;13;-74,721156;8,25158;Con Nodo;Región1
BOYACA;CHIQUIZA;15232;15;-73,449463;5,639834;Con Nodo;Región2
BOYACA;SACHICA;15638;15;-73,542539;5,584305;Sin Nodo;Región1
BOYACA;SUTAMARCHAN;15776;15;-73,620536;5,619781;Con Nodo;Región1
CUNDINAMARCA;JERUSALEN;25368;25;-74,695474;4,562273;Con Nodo;Región3
BOLIVAR;BARRANCO DE LOBA;13074;13;-74,104391;8,947787;Con Nodo;Región1
CUNDINAMARCA;QUIPILE;25596;25;-74,533705;4,74481;Con Nodo;Región1
CUNDINAMARCA;VIANI;25867;25;-74,56132;4,875208;Con Nodo;Región1
SANTANDER;LOS SANTOS;68418;68;-73,102739;6,755203;Con Nodo;Región2
CUNDINAMARCA;APULO;25599;25;-74,593926;4,520304;Con Nodo;Región1
MAGDALENA;CHIBOLO;47170;47;-74,622242;10,026631;Con Nodo;Región1
SANTANDER;CHARALA;68167;68;-73,146873;6,284339;Con Nodo;Región2
VALLE DEL CAUCA;VIJES;76869;76;-76,441804;3,698686;Con Nodo;Región1
SANTANDER;BARICHARA;68079;68;-73,223047;6,634111;Con Nodo;Región2
BOYACA;SANTA SOFIA;15696;15;-73,602707;5,713269;Con Nodo;Región2
BOLIVAR;CLEMENCIA;13222;13;-75,328469;10,567452;Con Nodo;Región1
ANTIOQUIA;SAN LUIS;5660;5;-74,993619;6,043017;Con Nodo;Región2
CUNDINAMARCA;TIBACUY;25805;25;-74,452662;4,348605;Con Nodo;Región1
CAUCA;SANTA ROSA;19701;19;-76,573252;1,700916;Con Nodo;Región3
TOLIMA;PALOCABILDO;73520;73;-75,022167;5,120918;Con Nodo;Región3
CAUCA;ROSAS;19622;19;-76,740336;2,260941;Con Nodo;Región1
CAUCA;CORINTO;19212;19;-76,261866;3,173854;Con Nodo;Región2
CORDOBA;SAN ANDRES SOTAVENTO;23670;23;-75,50879;9,145448;Sin Nodo;Región1
MAGDALENA;GUAMAL;47318;47;-74,223689;9,144354;Con Nodo;Región1
NARIÑO;PUPIALES;52585;52;-77,636042;0,870442;Con Nodo;Región2
BOLIVAR;TALAIGUA NUEVO;13780;13;-74,567479;9,30403;Con Nodo;Región1
BOLIVAR;SAN ESTANISLAO;13647;13;-75,153101;10,398602;Con Nodo;Región1
MAGDALENA;TENERIFE;47798;47;-74,859783;9,898273;Con Nodo;Región1
BOLIVAR;ALTOS DEL ROSARIO;13030;13;-74,164905;8,791865;Con Nodo;Región1
CAUCA;LOPEZ;19418;19;-77,247803;2,846788;Con Nodo;Por Proyecto
CORDOBA;CANALETE;23090;23;-76,241476;8,786939;Con Nodo;Región1
LA GUAJIRA;URUMITA;44855;44;-73,012507;10,560169;Con Nodo;Región1
NARIÑO;LA CRUZ;52378;52;-76,970504;1,601318;Con Nodo;Región1
PUTUMAYO;VILLAGARZON;86885;86;-76,61721;1,028821;Con Nodo;Región2
VALLE DEL CAUCA;ULLOA;76845;76;-75,737808;4,703623;Con Nodo;Región1
CUNDINAMARCA;TOCAIMA;25815;25;-74,636296;4,459279;Con Nodo;Región1
ANTIOQUIA;GRANADA;5313;5;-75,184446;6,142892;Con Nodo;Región2
PUTUMAYO;PUERTO GUZMAN;86571;86;-76,407663;0,962854;Con Nodo;Región2
SANTANDER;BETULIA;68092;68;-73,283669;6,899525;Con Nodo;Región2
SANTANDER;BOLIVAR;68101;68;-73,771346;5,988953;Con Nodo;Región1
SANTANDER;GAMBITA;68298;68;-73,344185;5,945998;Con Nodo;Región3
SUCRE;OVEJAS;70508;70;-75,229037;9,527176;Sin Nodo;Región1
TOLIMA;ANZOATEGUI;73043;73;-75,093772;4,631756;Con Nodo;Región2
NARIÑO;SAN PABLO;52693;52;-77,013984;1,669429;Con Nodo;Región1
BOYACA;TOTA;15822;15;-72,985898;5,560497;Con Nodo;Región2
NARIÑO;ILES;52352;52;-77,521227;0,96952;Con Nodo;Región1
NARIÑO;TANGUA;52788;52;-77,393735;1,09482;Con Nodo;Región1
BOLIVAR;PINILLOS;13549;13;-74,462279;8,914947;Con Nodo;Región1
BOYACA;ARCABUCO;15051;15;-73,437503;5,755673;Con Nodo;Región1
CORDOBA;PUERTO ESCONDIDO;23574;23;-76,260411;9,005372;Sin Nodo;Región1
CUNDINAMARCA;AGUA DE DIOS;25001;25;-74,669221;4,375309;Con Nodo;Región1
CUNDINAMARCA;ARBELAEZ;25053;25;-74,414901;4,272534;Con Nodo;Región1
CUNDINAMARCA;PASCA;25535;25;-74,302276;4,308979;Con Nodo;Región2
HUILA;ELIAS;41244;41;-75,938301;2,012854;Con Nodo;Región1
NARIÑO;CUMBITARA;52233;52;-77,578616;1,647163;Con Nodo;Región3
NARIÑO;FUNES;52287;52;-77,448913;1,001159;Con Nodo;Región1
SANTANDER;GUAVATA;68324;68;-73,700906;5,954348;Con Nodo;Región2
SANTANDER;GUEPSA;68327;68;-73,575146;6,025013;Con Nodo;Región2
SANTANDER;LA PAZ;68397;68;-73,58959;6,178509;Con Nodo;Región1
BOYACA;COMBITA;15204;15;-73,323957;5,634545;Con Nodo;Región2
LA GUAJIRA;ALBANIA;44035;44;-72,61232;11,151628;Tx con Terceros;Región1
NARIÑO;NARIÑO;52480;52;-77,357972;1,288979;Con Nodo;Región1
NARIÑO;EL ROSARIO;52256;52;-77,33417;1,745309;Con Nodo;Región1
CAUCA;TORIBIO;19821;19;-76,270284;2,953017;Con Nodo;Región2
ANTIOQUIA;AMALFI;5031;5;-75,077501;6,909655;Tx con Terceros;Región1
ANTIOQUIA;BURITICA;5113;5;-75,907;6,720759;Tx con Terceros;Región1
ANTIOQUIA;ITUANGO;5361;5;-75,764673;7,171629;Tx con Terceros;Región1
VALLE DEL CAUCA;ARGELIA;76054;76;-76,119905;4,726945;Con Nodo;Región1
VALLE DEL CAUCA;EL CAIRO;76246;76;-76,221611;4,760874;Con Nodo;Región1
VALLE DEL CAUCA;EL DOVIO;76250;76;-76,237084;4,510452;Con Nodo;Región1
PUTUMAYO;SANTIAGO;86760;86;-77,002641;1,147076;Con Nodo;Región2
CUNDINAMARCA;GRANADA;25312;25;-74,350766;4,519763;Con Nodo;Región1
NARIÑO;CHACHAGUI;52240;52;-77,281869;1,360545;Con Nodo;Región1
CESAR;PUEBLO BELLO;20570;20;-73,586211;10,417321;Con Nodo;Región1
PUTUMAYO;COLON;86219;86;-76,972566;1,190133;Con Nodo;Región2
MAGDALENA;SAN SEBASTIAN DE BUENAVISTA;47692;47;-74,351498;9,241656;Con Nodo;Región1
MAGDALENA;SANTA ANA;47707;47;-74,566845;9,324294;Con Nodo;Región1
QUINDIO;CORDOBA;63212;63;-75,687866;4,392485;Con Nodo;Región2
BOLIVAR;MAHATES;13433;13;-75,191643;10,233285;Con Nodo;Región1
SUCRE;EL ROBLE;70233;70;-75,198378;9,100647;Con Nodo;Región1
SUCRE;CHALAN;70230;70;-75,312697;9,545352;Con Nodo;Región1
PUTUMAYO;PUERTO CAICEDO;86569;86;-76,606118;0,687784;Con Nodo;Región2
NARIÑO;OSPINA;52506;52;-77,566082;1,058433;Con Nodo;Región1
NARIÑO;MAGUI;52427;52;-78,182924;1,765633;Con Nodo;Región3
NARIÑO;LA LLANADA;52385;52;-77,58091;1,472892;Con Nodo;Región1
NARIÑO;EL TABLON DE GOMEZ;52258;52;-77,097101;1,427277;Con Nodo;Región1
NARIÑO;EL PEÑOL;52254;52;-77,438522;1,453567;Con Nodo;Región1
NARIÑO;CONTADERO;52210;52;-77,549409;0,910458;Con Nodo;Región1
NARIÑO;COLON;52203;52;-77,019777;1,643878;Con Nodo;Región2
NARIÑO;ALBAN;52019;52;-77,080712;1,474978;Con Nodo;Región1
MAGDALENA;ZAPAYAN;47960;47;-74,716878;10,168297;Con Nodo;Región1
MAGDALENA;PIJIÑO DEL CARMEN;47545;47;-74,459034;9,331922;Con Nodo;Región1
MAGDALENA;NUEVA GRANADA;47460;47;-74,391841;9,80186;Con Nodo;Región1
MAGDALENA;CERRO SAN ANTONIO;47161;47;-74,868474;10,325531;Con Nodo;Región1
LA GUAJIRA;LA JAGUA DEL PILAR;44420;44;-73,072638;10,511862;Con Nodo;Región1
LA GUAJIRA;DISTRACCION;44098;44;-72,887405;10,898414;Con Nodo;Región1
CORDOBA;TUCHIN;23815;23;-75,553962;9,186625;Con Nodo;Región1
BOLIVAR;SAN CRISTOBAL;13620;13;-75,065076;10,392836;Con Nodo;Región1
BOLIVAR;RIO VIEJO;13600;13;-73,840466;8,58795;Con Nodo;Región1
BOLIVAR;HATILLO DE LOBA;13300;13;-74,077912;8,956014;Con Nodo;Región1
BOYACA;FIRAVITOBA;15272;15;-72,993392;5,668885;Con Nodo;Región2
META;EL DORADO;50270;50;-73,835264;3,739984;Con Nodo;Región2
BOLIVAR;EL GUAMO;13248;13;-74,976084;10,030958;Sin Nodo;Región1
MAGDALENA;PEDRAZA;47541;47;-74,9154;10,18825;Con Nodo;Región1
CASANARE;SABANALARGA;85300;85;-73,038696;4,854787;Con Nodo;Región1
CORDOBA;SAN JOSE DE URE;23682;23;-75,533476;7,787303;Con Nodo;Región1
CUNDINAMARCA;GUATAQUI;25324;25;-74,790058;4,517517;Con Nodo;Región1
CALDAS;LA MERCED;17388;17;-75,546486;5,39647;Con Nodo;Región1
CUNDINAMARCA;GUTIERREZ;25339;25;-74,003042;4,254679;Con Nodo;Región3
CORDOBA;LOS CORDOBAS;23419;23;-76,35518;8,892098;Con Nodo;Región1
CUNDINAMARCA;GUAYABAL DE SIQUIMA;25328;25;-74,467437;4,877968;Con Nodo;Región1
CUNDINAMARCA;TIBIRITA;25807;25;-73,504514;5,052278;Con Nodo;Región1
SANTANDER;JORDAN;68370;68;-73,096053;6,732727;Con Nodo;Región2
BOLIVAR;EL PEÑON;13268;13;-73,949274;8,988271;Con Nodo;Región1
BOLIVAR;SAN FERNANDO;13650;13;-74,323811;9,214183;Con Nodo;Región1
BOLIVAR;CANTAGALLO;13160;13;-73,914605;7,378678;Con Nodo;Región2
BOLIVAR;REGIDOR;13580;13;-73,821638;8,666258;Con Nodo;Región1
CASANARE;CHAMEZA;85015;85;-72,87016;5,214527;Con Nodo;Región1
BOYACA;TUNUNGUA;15832;15;-73,933155;5,730582;Con Nodo;Región3
BOYACA;ALMEIDA;15022;15;-73,378933;4,970857;Con Nodo;Región3
BOYACA;BERBEO;15090;15;-73,12721;5,227451;Con Nodo;Región3
BOYACA;BETEITIVA;15092;15;-72,809014;5,909978;Con Nodo;Región3
BOYACA;BUSBANZA;15114;15;-72,884158;5,831393;Con Nodo;Región2
BOYACA;CIENEGA;15189;15;-73,296049;5,408694;Con Nodo;Región2
BOYACA;CUITIVA;15226;15;-72,965923;5,580367;Con Nodo;Región2
BOYACA;FLORESTA;15276;15;-72,918111;5,859519;Con Nodo;Región2
BOYACA;IZA;15362;15;-72,979559;5,611577;Con Nodo;Región2
BOYACA;PACHAVITA;15511;15;-73,396953;5,140065;Con Nodo;Región2
BOYACA;QUIPAMA;15580;15;-74,180033;5,52055;Con Nodo;Región3
BOYACA;SAN JOSE DE PARE;15664;15;-73,545397;6,018924;Con Nodo;Región2
BOYACA;SAN MIGUEL DE SEMA;15676;15;-73,722009;5,518083;Con Nodo;Región2
BOYACA;SATIVASUR;15723;15;-72,712435;6,093183;Con Nodo;Región3
BOYACA;SORA;15762;15;-73,450153;5,56684;Con Nodo;Región1
BOYACA;TINJACA;15808;15;-73,646847;5,579713;Con Nodo;Región3
BOYACA;TOPAGA;15820;15;-72,832245;5,768201;Con Nodo;Región2
BOYACA;TUTAZA;15839;15;-72,856035;6,032608;Con Nodo;Región3
BOYACA;ZETAQUIRA;15897;15;-73,17098;5,283443;Con Nodo;Región2
CHOCO;CARMEN DEL DARIEN;27150;27;-76,970798;7,158294;Tx con Terceros;Región2
CUNDINAMARCA;BITUIMA;25095;25;-74,539609;4,872171;Con Nodo;Región1
CUNDINAMARCA;PULI;25580;25;-74,71438;4,682022;Con Nodo;Región3
CUNDINAMARCA;QUEBRADANEGRA;25592;25;-74,48014;5,118076;Con Nodo;Región1
CUNDINAMARCA;EL PEÑON;25258;25;-74,290207;5,248747;Con Nodo;Región1
LA GUAJIRA;DIBULLA;44090;44;-73,307598;11,27155;Tx con Terceros;Región1
SANTANDER;SAN BENITO;68673;68;-73,50907;6,126656;Con Nodo;Región1
SANTANDER;CHIMA;68176;68;-73,373656;6,344348;Con Nodo;Región1
SANTANDER;CHIPATA;68179;68;-73,637111;6,062521;Con Nodo;Región2
SANTANDER;CABRERA;68121;68;-73,246475;6,592118;Con Nodo;Región1
SANTANDER;ONZAGA;68502;68;-72,816766;6,344104;Con Nodo;Región2
SANTANDER;SANTA BARBARA;68705;68;-72,907445;6,990996;Con Nodo;Región1
SANTANDER;AGUADA;68013;68;-73,523132;6,162355;Con Nodo;Región2
NARIÑO;ARBOLEDA;52051;52;-77,135467;1,503418;Con Nodo;Región1
CAQUETA;ALBANIA;18029;18;-75,878375;1,328526;Con Nodo;Región1
CUNDINAMARCA;BELTRAN;25086;25;-74,741666;4,802832;Con Nodo;Región1
TOLIMA;FALAN;73270;73;-74,953007;5,123104;Con Nodo;Región2
TOLIMA;SUAREZ;73770;73;-74,831885;4,048891;Con Nodo;Región2
TOLIMA;VILLARRICA;73873;73;-74,600285;3,936902;Con Nodo;Región2
SUCRE;SAN JUAN DE BETULIA;70702;70;-75,243565;9,273066;Con Nodo;Región1
SANTANDER;PINCHOTE;68549;68;-73,174209;6,531552;Con Nodo;Región2
SANTANDER;SUCRE;68773;68;-73,790975;5,918743;Con Nodo;Región1
SANTANDER;CURITI;68229;68;-73,069383;6,605099;Con Nodo;Región2
SANTANDER;ENCINO;68264;68;-73,098749;6,137429;Con Nodo;Región3
SANTANDER;COROMORO;68217;68;-73,040816;6,294999;Con Nodo;Región3
CESAR;GONZALEZ;20310;20;-73,38004;8,389604;Con Nodo;Región2
CAUCA;GUACHENE;19300;19;-76,392189;3,134153;Con Nodo;Región2
CALDAS;SAN JOSE;17665;17;-75,792063;5,08231;Con Nodo;Región2
CAUCA;PADILLA;19513;19;-76,313265;3,220984;Con Nodo;Región2
SUCRE;GALERAS;70235;70;-75,04959;9,160379;Con Nodo;Región1
QUINDIO;BUENAVISTA;63111;63;-75,739572;4,360029;Con Nodo;Región2
SANTANDER;CONFINES;68209;68;-73,240554;6,357327;Con Nodo;Región2
SANTANDER;EL GUACAMAYO;68245;68;-73,496908;6,245111;Con Nodo;Región3
SANTANDER;GUAPOTA;68322;68;-73,320732;6,308635;Con Nodo;Región2
SANTANDER;SIMACOTA;68745;68;-73,337368;6,443469;Con Nodo;Región2
SANTANDER;CEPITA;68160;68;-72,973536;6,753518;Con Nodo;Región3
CUNDINAMARCA;NARIÑO;25483;25;-74,824732;4,399837;Con Nodo;Región2
CUNDINAMARCA;VERGARA;25862;25;-74,346163;5,117258;Con Nodo;Región3
NORTE DE SANTANDER;SANTIAGO;54680;54;-72,716203;7,865856;Con Nodo;Región3
BOLIVAR;SANTA CATALINA;13673;13;-75,287855;10,605294;Con Nodo;Región1
CORDOBA;COTORRA;23300;23;-75,799216;9,037163;Con Nodo;Región1
CUNDINAMARCA;FOSCA;25281;25;-73,93902;4,339093;Con Nodo;Región2
CUNDINAMARCA;VENECIA;25506;25;-74,478301;4,089056;Con Nodo;Región3
PUTUMAYO;SAN FRANCISCO;86755;86;-76,879283;1,174194;Con Nodo;Región2
NARIÑO;SAN PEDRO DE CARTAGO;52694;52;-77,11941;1,551572;Con Nodo;Región1
NARIÑO;ANCUYA;52036;52;-77,514512;1,263276;Con Nodo;Región1
SANTANDER;GUACA;68318;68;-72,856322;6,876563;Con Nodo;Región2
SANTANDER;HATO;68344;68;-73,308399;6,543957;Sin Nodo;Región2
SANTANDER;OCAMONTE;68498;68;-73,122563;6,339988;Con Nodo;Región2
SANTANDER;PALMAR;68522;68;-73,29109;6,537789;Con Nodo;Región2
SANTANDER;PARAMO;68533;68;-73,17022;6,416811;Con Nodo;Región2
SANTANDER;SAN JOAQUIN;68682;68;-72,867638;6,427548;Con Nodo;Región2
SANTANDER;VALLE DE SAN JOSE;68855;68;-73,143507;6,448028;Con Nodo;Región2
NORTE DE SANTANDER;SAN CAYETANO;54673;54;-72,625459;7,875695;Con Nodo;Región2
ANTIOQUIA;CAMPAMENTO;5134;5;-75,298091;6,979771;Tx con Terceros;Región2
NARIÑO;SANTACRUZ;52699;52;-77,677035;1,222589;Con Nodo;Región2
ANTIOQUIA;EL BAGRE;5250;5;-74,799097;7,5975;Sin Nodo;Región1
ANTIOQUIA;SALGAR;5642;5;-75,976807;5,964198;Sin Nodo;Región2
GUAINIA;BARRANCO MINAS;94343;94;-69,814066;3,494178;Sin Nodo;Región2
GUAVIARE;MIRAFLORES;95200;95;-71,950416;1,337539;Sin Nodo;Región1
ANTIOQUIA;ANORI;5040;5;-75,148355;7,074703;Tx con Terceros;Región1
ANTIOQUIA;PEQUE;5543;5;-75,910357;7,021029;Tx con Terceros;Región2
ANTIOQUIA;SABANALARGA;5628;5;-75,816645;6,850028;Tx con Terceros;Región1
ANTIOQUIA;SAN ANDRES DE CUERQUIA;5647;5;-75,674564;6,916676;Tx con Terceros;Región2
ANTIOQUIA;SAN JOSE DE LA MONTAÑA;5658;5;-75,683352;6,85009;Tx con Terceros;Región1
ANTIOQUIA;TOLEDO;5819;5;-75,692281;7,010328;Tx con Terceros;Región2
MAGDALENA;CONCORDIA;47205;47;-74,83303;10,257314;Con Nodo;Región1
NARIÑO;ALDANA;52022;52;-77,700564;0,882381;Con Nodo;Región1
NARIÑO;POTOSI;52560;52;-77,573003;0,806639;Con Nodo;Región1
NARIÑO;SAPUYES;52720;52;-77,62028;1,037536;Con Nodo;Región1
BOLIVAR;VILLANUEVA;13873;13;-75,275613;10,444089;Con Nodo;Región1
MAGDALENA;SANTA BARBARA DE PINTO;47720;47;-74,704667;9,432263;Con Nodo;Región1
NARIÑO;CUASPUD;52224;52;-77,728947;0,862978;Con Nodo;Región1
NARIÑO;GUAITARILLA;52320;52;-77,549824;1,129574;Con Nodo;Región1
SUCRE;COLOSO;70204;70;-75,353256;9,494192;Con Nodo;Región1
CUNDINAMARCA;SOPO;25758;25;-73,943328;4,915395;Sin Nodo;Región1
CUNDINAMARCA;COTA;25214;25;-74,102569;4,812564;Sin Nodo;Región1
VALLE DEL CAUCA;YOTOCO;76890;76;-76,382698;3,861241;Sin Nodo;Región2
NARIÑO;ROBERTO PAYAN;52621;52;-78,245716;1,697492;Con Nodo;Por Proyecto
ARCHIPIELAGO DE SAN ANDRES;PROVIDENCIA;88564;88;-81,368386;13,373185;Sin Nodo;Región2
ANTIOQUIA;PUERTO NARE;5585;5;-74,583012;6,186025;Tx con Terceros;Región2
ANTIOQUIA;GIRALDO;5306;5;-75,952158;6,680808;Tx con Terceros;Región1
ANTIOQUIA;VALPARAISO;5856;5;-75,624452;5,614555;Tx con Terceros;Región2
ANTIOQUIA;CONCEPCION;5206;5;-75,257587;6,394348;Tx con Terceros;Región2
ANTIOQUIA;TITIRIBI;5809;5;-75,791887;6,062391;Tx con Terceros;Región2
ANTIOQUIA;CARAMANTA;5145;5;-75,643868;5,54853;Tx con Terceros;Región2
NARIÑO;CONSACA;52207;52;-77,466136;1,207854;Con Nodo;Región1
NARIÑO;LA FLORIDA;52381;52;-77,402882;1,29753;Con Nodo;Región1
GUAINIA;MORICHAL;94888;94;-69,919404;2,265132;Sin Nodo;Región2
ANTIOQUIA;GOMEZ PLATA;5310;5;-75,220018;6,683269;Tx con Terceros;Región1
CUNDINAMARCA;COGUA;25200;25;-73,978497;5,061842;Sin Nodo;Región1
BOLIVAR;SAN JUAN NEPOMUCENO;13657;13;-75,081761;9,953751;Sin Nodo;Región1
NARIÑO;IMUES;52354;52;-77,496339;1,05506;Con Nodo;Región1
ANTIOQUIA;BETULIA;5093;5;-75,984452;6,115208;Sin Nodo;Región2
